"Qty","Designators","LibReference","Description","Footprint","FootprintDescription","Sheets","ItemGUID","ItemRevisionGUID"
"3","L3, L4, L5","CMP-006-00004-3","Chip Ferrite Bead for General Use, 120 Ohm, 500 mA, -55 to 125 degC, 0603 (1608 Metric), RoHS, Tape and Reel","MURA-BLM18-F-H1-CHIP-2_V","Chip Ferrite Bead, 2-Leads, Body 1.6x0.8mm, Height 0.95mm, Flow","4.Power","CE8BA68F-1B47-46B3-9704-9AC47832B728","AF1DA13D-A68B-4BF8-AE8F-D84C4C3CF1FA"
"2","L1, L2","CMP-006-00009-6","Chip Inductor, 2.2 uH, +/- 20%, -55 to 125 degC, 1008 (2520 Metric), RoHS, Tape and Reel","INDC2520X100X60NL20T20","Chip Inductor, 2-Leads, Body 2.7x2.2mm, IPC Medium Density","4.Power","50159F89-051D-4E48-95FD-CEE944D8D57F","7C5FAF59-0AF9-4790-8B67-BF4BD319A4E1"
"1","LED1","CMP-007-00038-1","WL-SMCW SMT Mono-Color Chip LED Waterclear 0805","LEDC2012X70N","","4.Power","FD38984B-F99E-498D-AD84-2CF09CD05F25","310DA95E-72FE-49DF-BE42-CC76D095AEE9"
"4","R37, R38, R39, R40","CMP-0078660-1","RES, 0.1, 1%, 0.25 W, 0402","0402","","3.ADC","",""
"1","R64","CMP-0078669-1","RES, 10.0 k, 1%, 0.063 W, 0402","0402","","2.Support","",""
"3","R82, R84, R86","CMP-0081856-1","RES, 0, 0%, 0.2 W, AEC-Q200 Grade 0, 0402","0402","","2.Support","",""
"1","R44","CMP-009-00005-5","Chip Resistor, 0 Ohm, 0.1 W, -55 to 155 degC, 0402 (1005 Metric)","RESC1005X40X25ML05T05","Chip Resistor, 2-Leads, Body 1.05x0.55mm, IPC Low Density","4.Power","FE329932-3914-4A43-A8E2-C91B74E949EF","A416820D-3AB8-478C-AB4F-EA2A48C75822"
"8","R46, R163, R164, R165, R166, R167, R168, R169","CMP-009-00006-5","Chip Resistor, 0 Ohm, 0.1 W, -55 to 155 degC, 0603 (1608 Metric)","RESC1608X55X25ML10T15","Chip Resistor, 2-Leads, Body 1.70x0.90mm, IPC Low Density","4.Power, 1.GPIO","95055128-38A3-4D2A-8451-2D649817FD8D","CAF286BD-2993-4BDD-922B-72ECF5C7AEEE"
"1","R52","CMP-009-00023-5","Chip Resistor, 100 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric)","RESC1608X55X25ML10T15","Chip Resistor, 2-Leads, Body 1.70x0.90mm, IPC Low Density","4.Power","95055128-38A3-4D2A-8451-2D649817FD8D","CAF286BD-2993-4BDD-922B-72ECF5C7AEEE"
"1","R51","CMP-009-00066-2","10K 0.063W 1% 0402 (1005 Metric)  SMD","RESC0402(1005)_L","Chip Resistor, Body 1.0x0.5mm, IPC High Density","4.Power","316EDCAE-BCC3-473D-BC74-DB8CF9BC8C43","CE5B95AE-C33F-482A-91C8-7FF8BA0A7129"
"1","R45","CMP-009-00081-2","22K 0.063W 1% 0402 (1005 Metric)  SMD","RESC0402(1005)_L","Chip Resistor, Body 1.0x0.5mm, IPC High Density","4.Power","316EDCAE-BCC3-473D-BC74-DB8CF9BC8C43","CE5B95AE-C33F-482A-91C8-7FF8BA0A7129"
"1","R53","CMP-009-00163-3","Chip Resistor, 200 kOhms, +/-1 %, 63 mW, -55 to 155 degC, 0402","RESC0402(1005)_L","Chip Resistor, Body 1.0x0.5mm, IPC High Density","4.Power","1F5B1AB2-6A1C-40A3-ADF3-0DD4F6DF45C3","517981CC-857F-4542-9AB3-F9AC60FEA47D"
"9","R158, R159, R162, R170, R171, R172, R173, R174, R175","CMP-009-00174-4","Chip Resistor, 4,7 Ohms, +/-5 %, 125 mW, -55 to 155 degC, 0805","RESC0805(2012)_L","Chip Resistor, Body 2.0x1.3mm, IPC High Density","1.GPIO, 8.Emulator_Interface","1D1D6DEC-B4B3-4C08-92A1-95BD031BC35E","18B7447A-56DD-41DE-8C26-752869BA29F1"
"1","U1","CMP-012-000147-1","TMS320F28388DZWTS, ZWT0337A (NFBGA-337)","ZWT0337A-IPC_B","for F28388DZWTS","3.ADC","DF54DF59-B641-498F-BB01-2484DF0E0B85","F723C569-669A-411F-82AF-03D30780E2C8"
"1","U8","CMP-014-000012-1","Dual, Adjustable, 600mA and 1000mA, 2.25MHz Step-Down Converter with 1-Wire Interface in QFN 10-VSON -40 to 85","DRC0010J","for TPS62420DRCR","4.Power","6DEB09E7-F20E-4A90-B764-515545040CDC","F467FBAA-B0EE-4F51-97AC-B2A9ABA1833C"
"1","U3","CMP-014-00004-2","High-Speed, Single-Supply, Rail-to-Rail Operational Amplifier MicroAmplifier(TM) Series, 2.7 to 5.5 V, -55 to 150 degC, 16-pin SOP (DBQ16), Green (RoHS & no Sb/Br)","DBQ0016A_N","","3.ADC","",""
"5","U24, U25, U26, U27, U28","CMP-031-00095-1","16-Bit Dual-Supply Bus Transceiver","SOP50P810X120-48N","","9.Pwm_Buffer","3C2B1A9C-8618-4807-B9D7-C00B05F7AC30","CDF5D8AE-E938-49B6-A00E-17151FA17120"
"1","Y1","CMP-052-000000-1","Oscillator, 25 MHz, 15 pF, SMD","ECS_ECS-2520S","","2.Support","B9F527EE-C7B7-4EB9-9926-576E100A5FB9","DBDE1BDD-B94E-4AAF-B62D-2E416037FEC0"
"2","U6, U7","CMP-052-000005-1","High-Accuracy, Fixed-Threshold OV/UV Monitor, DDC0006A (SOT-23-T-6)","DDC0006A_N","","2.Support","E583D6B3-15A4-4D0E-9F9F-01DEABF63F6F","DA58D82B-5B44-4BEF-9414-B77C3E88679A"
"1","U5","CMP-052-000006-1","Low Jitter, 1:4 LVCMOS Fan-out Clock Buffer, PW0008A (TSSOP-8)","PW0008A_N","","2.Support","FC129819-F756-4F2A-9164-3D470AA61679","62F079A3-04DD-46D0-9AFE-49794CEF462D"
